Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
403.96103,-51.276287,169.77325,0,1/1/2018 2:45,2018,1,1
401.9262,-51.021965,169.5315,0,1/1/2018 2:45,2018,1,1
403.14398,-50.69618,169.54915,0,1/1/2018 2:45,2018,1,1
403.86444,-50.61105,169.47704,0,1/1/2018 2:45,2018,1,1
403.52094,-50.52272,169.42555,0,1/1/2018 2:45,2018,1,1
403.32266,-50.431236,169.39413,0,1/1/2018 2:45,2018,1,1
403.45807,-50.340214,169.36331,0,1/1/2018 2:45,2018,1,1
403.6433,-50.25187,169.31166,0,1/1/2018 2:45,2018,1,1
403.81845,-50.16032,169.28049,0,1/1/2018 2:45,2018,1,1
403.73233,-50.06915,169.24959,0,1/1/2018 2:45,2018,1,1
403.57996,-49.980286,169.19824,0,1/1/2018 2:45,2018,1,1
403.6287,-49.88919,169.16818,0,1/1/2018 2:45,2018,1,1
403.87857,-49.798206,169.13776,0,1/1/2018 2:45,2018,1,1
403.3526,-49.709362,169.08717,0,1/1/2018 2:45,2018,1,1
404.0839,-49.61817,169.0573,0,1/1/2018 2:45,2018,1,1
403.9641,-49.488304,169.16025,0,1/1/2018 2:45,2018,1,1
403.92,-49.397095,169.1295,0,1/1/2018 2:45,2018,1,1
403.79248,-49.320625,168.99974,0,1/1/2018 2:45,2018,1,1
404.11975,-49.199017,169.04271,0,1/1/2018 2:45,2018,1,1
403.82675,-49.122658,168.91394,0,1/1/2018 2:45,2018,1,1
404.12222,-49.03162,168.8843,0,1/1/2018 2:45,2018,1,1
403.58932,-48.940422,168.85394,0,1/1/2018 2:45,2018,1,1
403.8874,-48.852005,168.80467,0,1/1/2018 2:45,2018,1,1
404.26715,-48.72107,168.90526,0,1/1/2018 2:45,2018,1,1
403.9791,-48.632954,168.8567,0,1/1/2018 2:46,2018,1,1
403.81076,-48.541477,168.82706,0,1/1/2018 2:46,2018,1,1
403.97867,-48.450283,168.79752,0,1/1/2018 2:46,2018,1,1
403.97186,-48.358665,168.76741,0,1/1/2018 2:46,2018,1,1
403.80188,-48.270397,168.71858,0,1/1/2018 2:46,2018,1,1
404.451,-47.805565,168.60765,0,1/1/2018 2:46,2018,1,1
404.06122,-47.659256,168.5612,0,1/1/2018 2:46,2018,1,1
405.0364,-46.26156,168.04652,0,1/1/2018 2:46,2018,1,1
404.96048,-46.11883,168.07883,0,1/1/2018 2:46,2018,1,1
403.8555,-46.027187,168.05063,0,1/1/2018 2:46,2018,1,1
401.82547,-45.94249,167.89217,0,1/1/2018 2:46,2018,1,1
403.5903,-45.815758,167.94943,0,1/1/2018 2:46,2018,1,1
402.57022,-45.49954,167.77788,0,1/1/2018 2:46,2018,1,1
402.70633,-45.411312,167.73257,0,1/1/2018 2:46,2018,1,1
404.73132,-44.636204,167.51807,0,1/1/2018 2:47,2018,1,1
404.8936,-44.473644,167.54329,0,1/1/2018 2:47,2018,1,1
404.31174,-44.385464,167.49971,0,1/1/2018 2:47,2018,1,1
404.63608,-44.293888,167.47282,0,1/1/2018 2:47,2018,1,1
